"form","section","qid","required","question","type","options","rows","note"
"事後","7 運営への意見","O5","","当日の参加方法（接続・入室）は分かりやすかったですか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","7 運営への意見","O6","","進行役の進め方はどうでしたか","ラジオ","1 とても不満|2 やや不満|3 どちらともいえない|4 やや満足|5 とても満足","",""
"事後","7 運営への意見","O7","","欠席によるグループの変更があった場合、説明は分かりやすかったですか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う|該当なし","",""
"事後","7 運営への意見","O8","","困ったときにどこへ相談すればよいか分かりましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","7 運営への意見","O9","","勤務先や支援機関に情報が共有されないことは、安心につながりましたか","ラジオ","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","",""
"事後","7 運営への意見","O10","","参加をやめたいと思った場面はありましたか","ラジオ","あった|なかった","",""
"事後","7 運営への意見","O10b","","（あった方へ）それはいつ、どのような理由でしたか","段落","","",""
"事後","7 運営への意見","O11","必須","運営に改善してほしいことがあれば教えてください","段落","","","なければ「なし」と記入"
"事後","7 運営への意見","O12","","その他、伝えておきたいことがあれば教えてください","段落","","",""
"事後","8 いまの状態（事前と同じ設問）","S1-S7","","この1週間のご自身に、どのくらい当てはまりますか","グリッド","1 まったくそう思わない|2 あまりそう思わない|3 どちらともいえない|4 ややそう思う|5 とてもそう思う","S1 布団に入ってから、寝つきはよかった|S2 夜中に目が覚めずに眠れた|S3 朝起きたとき、疲れが取れている感じがした|S4 日中、体が重くだるい感じがあった|S5 気分が落ち込むことがあった|S6 仕事に向かう気力があった|S7 しんどくなったとき、自分で対処できそうだと思えた","S4・S5は「あった方が悪い」逆向きの設問。集計時に向きをそろえる"
